Active Directory plugin	(active-directory)	2.6
All changes plugin	(all-changes)	1.5
Android Lint Plugin	(android-lint)	2.6
AnsiColor	(ansicolor)	0.5.2
Ant Plugin	(ant)	1.8
Apache HttpComponents Client 4.x API Plugin	(apache-httpcomponents-client-4-api)	4.5.3-2.1
Authentication Tokens API Plugin	(authentication-tokens)	1.3
Bitbucket Branch Source Plugin	(cloudbees-bitbucket-branch-source)	2.2.10
bouncycastle API Plugin	(bouncycastle-api)	2.16.2
Branch API Plugin	(branch-api)	2.0.19
Build Failure Analyzer	(build-failure-analyzer)	1.19.2
Build Monitor View	(build-monitor-plugin)	1.12+build.201708172343
Build Timeout	(build-timeout)	1.19
Build Timestamp Plugin	(build-timestamp)	1.0.2
Build Trigger Badge Plugin	(buildtriggerbadge)	2.9
build-name-setter	(build-name-setter)	1.6.9
Checkstyle Plug-in	(checkstyle)	3.5
ChuckNorris Plugin	(chucknorris)	1.1
Cobertura Plugin	(cobertura)	1.12
Command Agent Launcher Plugin	(command-launcher)	1.2
Compact Columns	(compact-columns)	1.1
Concordion Presenter plugin	(concordionpresenter)	0.7
Conditional BuildStep	(conditional-buildstep)	1.3.6
Config File Provider Plugin	(config-file-provider)	2.18
Configuration Slicing plugin	(configurationslicing)	1.47
Convert To Pipeline	(convert-to-pipeline)	1
Copy Artifact Plugin	(copyartifact)	1.39.1
Credentials Binding Plugin	(credentials-binding)	1.16
Credentials Plugin	(credentials)	2.1.16
Custom Tools Plugin	(custom-tools-plugin)	0.5
CVS Plug-in	(cvs)	2.14
Dashboard View	(dashboard-view)	2.9.11
Deploy WebLogic Plugin	(weblogic-deployer-plugin)	4.1
Display URL API	(display-url-api)	2.2.0
Docker Commons Plugin	(docker-commons)	1.11
Docker Pipeline	(docker-workflow)	1.15.1
docker-build-step	(docker-build-step)	2
DocLinks plugin	(doclinks)	0.6.1
Durable Task Plugin	(durable-task)	1.22
Email Extension Plugin	(email-ext)	2.62
EnvInject API Plugin	(envinject-api)	1.5
Environment Injector Plugin	(envinject)	2.1.5
Exclusive Execution Plugin	(exclusive-execution)	0.8
Extended Choice Parameter Plug-In	(extended-choice-parameter)	0.76
External Monitor Job Type Plugin	(external-monitor-job)	1.7
Favorite	(favorite)	2.3.1
File Operations Plugin	(file-operations)	1.7
FindBugs Plug-in	(findbugs)	4.72
Folders Plugin	(cloudbees-folder)	6.4
Git client plugin	(git-client)	2.7.1
Git plugin	(git)	3.8.0
GIT server Plugin	(git-server)	1.7
GitHub API Plugin	(github-api)	1.9
GitHub Branch Source Plugin	(github-branch-source)	2.3.3
GitHub plugin	(github)	1.29.0
Gradle Plugin	(gradle)	1.28
Green Balls	(greenballs)	1.15
Groovy	(groovy)	2
Handy Uri Templates 2.x API Plugin	(handy-uri-templates-2-api)	2.1.6-1.0
HTML Publisher plugin	(htmlpublisher)	1.16
Hudson Locks and Latches plugin	(locks-and-latches)	0.6
Hudson Tray Application Plugin	(hudsontrayapp)	0.7.3
Icon Shim Plugin	(icon-shim)	2.0.3
Infrastructure plugin for Publish Over X	(publish-over)	0.22
Jackson 2 API Plugin	(jackson2-api)	2.8.11.1
JaCoCo plugin	(jacoco)	3.0.1
Javadoc Plugin	(javadoc)	1.4
JavaScript GUI Lib: ACE Editor bundle plugin	(ace-editor)	1.1
JavaScript GUI Lib: Handlebars bundle plugin	(handlebars)	1.1.1
JavaScript GUI Lib: jQuery bundles (jQuery and jQuery UI) plugin	(jquery-detached)	1.2.1
JavaScript GUI Lib: Moment.js bundle plugin	(momentjs)	1.1.1
JDK Tool Plugin	(jdk-tool)	1.1
JIRA plugin	(jira)	2.5
Job Configuration History Plugin	(jobConfigHistory)	2.18
Job Import Plugin	(job-import-plugin)	2.1
jQuery plugin	(jquery)	1.12.4-0
JSch dependency plugin	(jsch)	0.1.54.2
JUnit Attachments Plugin	(junit-attachments)	1.5
JUnit Plugin	(junit)	1.24
Label Linked Jobs Plugin	(label-linked-jobs)	5.1.2
LDAP Plugin	(ldap)	1.2
Locale plugin	(locale)	1.2
M2 Repository Cleanup Plugin	(m2-repo-reaper)	1
Mailer Plugin	(mailer)	1.21
MapDB API Plugin	(mapdb-api)	1.0.9.0
Matrix Authorization Strategy Plugin	(matrix-auth)	1.7
Matrix Project Plugin	(matrix-project)	1.13
Maven Info Plugin	(maven-info)	0.2.0
Maven Integration plugin	(maven-plugin)	3.1.2
Meme Generator	(memegen)	0.5.1
Mercurial plugin	(mercurial)	2.3
Metrics Plugin	(metrics)	3.1.2.11
MSBuild Plugin	(msbuild)	1.29
Naginator	(naginator)	1.17.2
Nexus Artifact Uploader	(nexus-artifact-uploader)	2.1
NodeJS Plugin	(nodejs)	1.2.6
OWASP Markup Formatter Plugin	(antisamy-markup-formatter)	1.5
PAM Authentication plugin	(pam-auth)	1.3
Parameterized Trigger plugin	(parameterized-trigger)	2.35.2
Pipeline	(workflow-aggregator)	2.5
Pipeline Graph Analysis Plugin	(pipeline-graph-analysis)	1.6
Pipeline Maven Integration Plugin	(pipeline-maven)	3.5.3
Pipeline: API	(workflow-api)	2.27
Pipeline: Basic Steps	(workflow-basic-steps)	2.6
Pipeline: Build Step	(pipeline-build-step)	2.7
Pipeline: Declarative	(pipeline-model-definition)	1.2.8
Pipeline: Declarative Agent API	(pipeline-model-declarative-agent)	1.1.1
Pipeline: Declarative Extension Points API	(pipeline-model-extensions)	1.2.8
Pipeline: Groovy	(workflow-cps)	2.48
Pipeline: Input Step	(pipeline-input-step)	2.8
Pipeline: Job	(workflow-job)	2.19
Pipeline: Milestone Step	(pipeline-milestone-step)	1.3.1
Pipeline: Model API	(pipeline-model-api)	1.2.8
Pipeline: Multibranch	(workflow-multibranch)	2.17
Pipeline: Nodes and Processes	(workflow-durable-task-step)	2.19
Pipeline: REST API Plugin	(pipeline-rest-api)	2.1
Pipeline: SCM Step	(workflow-scm-step)	2.6
Pipeline: Shared Groovy Libraries	(workflow-cps-global-lib)	2.9
Pipeline: Stage Step	(pipeline-stage-step)	2.3
Pipeline: Stage Tags Metadata	(pipeline-stage-tags-metadata)	1.2.8
Pipeline: Stage View Plugin	(pipeline-stage-view)	2.1
Pipeline: Step API	(workflow-step-api)	2.14
Pipeline: Supporting APIs	(workflow-support)	2.18
Plain Credentials Plugin	(plain-credentials)	1.4
Plugin Usage - Plugin	(plugin-usage-plugin)	0.3
PMD Plug-in	(pmd)	3.5
Port Allocator Plug-in	(port-allocator)	1.8
"Pub-Sub ""light"" Bus"	(pubsub-light)	1.12
Publish Over SSH	(publish-over-ssh)	1.19.1
Python Plugin	(python)	1.3
Repository Connector	(repository-connector)	1.2.3
Resource Disposer Plugin	(resource-disposer)	0.8
Role-based Authorization Strategy	(role-strategy)	2.7.0
Run Condition Plugin	(run-condition)	1
Schedule Build Plugin	(schedule-build)	0.5.1
SCM API Plugin	(scm-api)	2.2.6
Script Security Plugin	(script-security)	1.43
Server Sent Events (SSE) Gateway Plugin	(sse-gateway)	1.15
SonarQube Scanner for Jenkins	(sonar)	2.7.1
SSH Agent Plugin	(ssh-agent)	1.15
SSH Credentials Plugin	(ssh-credentials)	1.13
SSH Slaves plugin	(ssh-slaves)	1.26
Static Analysis Collector Plug-in	(analysis-collector)	1.52
Static Analysis Utilities	(analysis-core)	1.95
Structs Plugin	(structs)	1.14
Subversion Plug-in	(subversion)	2.10.5
Subversion Workspace Cleaner	(svn-workspace-cleaner)	1.1
Support Core Plugin	(support-core)	2.46
Task Scanner Plug-in	(tasks)	4.52
Team Views	(team-views)	0.9.0
Text File Operations	(text-file-operations)	1.3.2
Throttle Concurrent Builds Plug-in	(throttle-concurrents)	2.0.1
Timestamper	(timestamper)	1.8.9
Token Macro Plugin	(token-macro)	2.5
Tool Environment plugin	(toolenv)	1.1
Translation Assistance plugin	(translation)	1.16
Variant Plugin	(variant)	1.1
Version Number Plug-In	(versionnumber)	1.9
View Job Filters	(view-job-filters)	1.27
VncRecorder Plugin	(vncrecorder)	1.25
VncViewer Plugin	(vncviewer)	1.5
Warnings Plug-in	(warnings)	4.66
Windows Slaves Plugin	(windows-slaves)	1.3.1
Workspace Cleanup Plugin	(ws-cleanup)	0.34
Xcode integration	(xcode-plugin)	1.4.11
xUnit plugin	(xunit)	1.102
Xvnc plugin	(xvnc)	1.24
